%MC_DataTool ASCII conversion
%
%t           	El 12       	El 45       	El 86
%[ms]        	[microV]        	[microV]        	[microV]
0.000       	0.83        	-4.58       	3.75
0.100       	-8.33       	-2.08       	2.50
0.200       	-10.00      	-0.42       	0.83
0.300       	-9.58       	-3.75       	-8.75
0.400       	-2.50       	-2.50       	-5.00
0.500       	-5.42       	-2.92       	-9.58
0.600       	-9.58       	-0.83       	-5.42
0.700       	-6.67       	0.00        	1.67
0.800       	-4.17       	-0.83       	1.67
0.900       	-3.33       	-4.17       	-5.83
1.000       	-4.58       	-5.00       	-7.08
1.100       	-2.92       	-0.83       	1.67
1.200       	-2.92       	0.00        	4.17
1.300       	-1.25       	-2.92       	3.75
1.400       	-5.00       	3.33        	-0.83
1.500       	-5.83       	-0.83       	-3.75
1.600       	-1.25       	-4.17       	-9.17
1.700       	-6.25       	-1.67       	-6.25
1.800       	-5.83       	-0.83       	-8.33
1.900       	-3.33       	-0.83       	-12.92
2.000       	-8.75       	-7.50       	-10.42
2.100       	-9.58       	-7.50       	-3.33
2.200       	-7.92       	-4.58       	5.00
2.300       	-5.00       	-1.25       	8.75
2.400       	-5.83       	-1.67       	4.17
2.500       	-13.33      	-5.00       	-3.75
2.600       	-3.75       	-6.67       	-5.00
2.700       	2.50        	-1.67       	-5.00
2.800       	-4.58       	0.42        	-5.00
2.900       	-5.83       	0.42        	-7.92
3.000       	-3.75       	-4.17       	0.42
3.100       	-7.08       	-5.00       	0.83
3.200       	-9.17       	-1.25       	5.00
3.300       	-8.33       	-6.25       	5.42
3.400       	-8.75       	-4.58       	8.75
3.500       	-9.58       	-1.67       	7.92
3.600       	-0.83       	2.08        	-1.67
3.700       	5.00        	2.50        	0.00
3.800       	2.08        	-0.83       	8.33
3.900       	-0.83       	1.67        	5.00
4.000       	-1.67       	3.75        	-4.58
4.100       	2.50        	5.83        	-5.00
4.200       	-5.83       	0.00        	1.67
4.300       	-6.67       	-4.17       	1.25
4.400       	-7.92       	-3.75       	-2.08
4.500       	-4.58       	0.00        	-1.25
4.600       	-7.92       	3.75        	-1.67
4.700       	-10.42      	-0.42       	-7.08
4.800       	2.50        	-2.92       	-1.67
4.900       	4.17        	-1.67       	0.83
5.000       	-2.92       	-2.08       	-7.50
5.100       	-3.75       	-2.50       	-9.58
5.200       	1.25        	-2.08       	-5.83
5.300       	-5.42       	-2.08       	-4.17
5.400       	-9.17       	3.75        	-5.83
5.500       	-5.83       	-0.42       	-2.92
5.600       	-0.83       	-0.83       	0.83
5.700       	-2.50       	5.83        	7.08
5.800       	-0.42       	5.83        	9.58
5.900       	2.92        	1.67        	4.17
6.000       	4.58        	4.17        	7.50
6.100       	-5.83       	1.67        	-2.50
6.200       	-5.00       	9.58        	3.75
6.300       	-6.67       	1.67        	-5.83
6.400       	-2.92       	-0.42       	-5.00
6.500       	-0.83       	-1.67       	-0.42
6.600       	0.83        	-4.17       	3.33
6.700       	7.92        	3.33        	-2.50
6.800       	0.42        	6.67        	-2.08
6.900       	2.08        	10.00       	-1.67
7.000       	-6.67       	5.42        	-9.58
7.100       	-8.75       	4.17        	-5.83
7.200       	-6.25       	3.75        	-6.25
7.300       	-2.50       	-0.83       	-9.17
7.400       	-0.42       	1.67        	-6.67
7.500       	-0.42       	7.50        	-7.50
7.600       	-4.58       	2.92        	-7.08
7.700       	-9.17       	-0.42       	-15.00
7.800       	-2.50       	3.75        	-14.58
7.900       	-0.83       	7.08        	-16.25
8.000       	-5.42       	1.67        	-13.75
8.100       	-7.92       	1.25        	-9.17
8.200       	-10.83      	-4.17       	-15.42
8.300       	-11.25      	-0.83       	-14.17
8.400       	-4.58       	-2.92       	-15.00
8.500       	-7.08       	-8.33       	-11.25
8.600       	-7.50       	-10.00      	-7.08
8.700       	-1.25       	-11.25      	-12.50
8.800       	-1.25       	-11.67      	-10.83
8.900       	-5.83       	-5.83       	-8.75
9.000       	-6.25       	-6.25       	-12.50
9.100       	-3.33       	-6.67       	-7.92
9.200       	-11.67      	-6.67       	-10.83
9.300       	-13.33      	-5.83       	-5.00
9.400       	-9.17       	-3.33       	-7.92
9.500       	-2.92       	-8.33       	-11.25
9.600       	-10.83      	-5.83       	-10.83
9.700       	-13.75      	-2.50       	2.50
9.800       	-8.33       	0.00        	-0.83
9.900       	-7.08       	2.50        	-6.67
10.000      	-12.50      	-1.67       	-4.58
10.100      	-6.25       	-5.00       	2.50
10.200      	-13.33      	-8.75       	2.92
10.300      	-16.25      	-5.00       	0.83
10.400      	-9.17       	-2.50       	2.08
10.500      	-13.75      	-0.83       	0.83
10.600      	-15.00      	1.67        	-3.75
10.700      	-12.92      	-0.83       	-4.58
10.800      	-10.83      	-8.33       	-3.75
10.900      	-7.92       	-7.50       	-2.92
11.000      	-12.92      	-1.67       	-0.83
11.100      	-13.75      	-4.58       	-5.83
11.200      	-12.08      	-10.83      	-10.42
11.300      	-13.75      	-13.75      	-5.83
11.400      	-5.42       	-5.83       	-3.33
11.500      	-8.33       	-4.58       	-12.08
11.600      	-13.33      	-3.75       	-6.67
11.700      	-6.25       	1.25        	0.00
11.800      	-12.92      	-3.33       	-5.83
11.900      	-9.58       	-2.50       	-3.33
12.000      	-8.75       	0.83        	-10.00
12.100      	-11.67      	-0.83       	-7.92
12.200      	-6.67       	-1.67       	-7.08
12.300      	-7.50       	1.25        	-0.83
12.400      	0.00        	-0.83       	-3.75
12.500      	-5.83       	-0.42       	-3.75
12.600      	-5.42       	-4.17       	-1.67
12.700      	-7.50       	-0.42       	0.00
12.800      	-10.42      	-4.58       	-4.58
12.900      	-3.33       	-9.17       	-1.25
13.000      	-7.92       	-7.50       	0.00
13.100      	-10.00      	-6.25       	-8.75
13.200      	-18.75      	-15.00      	-9.17
13.300      	-16.67      	-12.92      	-8.33
13.400      	-13.75      	-15.42      	-7.92
13.500      	-15.42      	-7.92       	-3.33
13.600      	-14.58      	-5.00       	-10.00
13.700      	-13.75      	-7.92       	-6.67
13.800      	-8.75       	-10.00      	-1.67
