%MC_DataTool ASCII conversion
%
%t           	El 12       	El 45       	El 86
%[ms]        	[microV]        	[microV]        	[microV]
0.000       	0.83        	-4.58       	3.75
0.100       	-8.33       	-2.08       	2.50
0.200       	-10.00      	-0.42       	0.83
0.300       	-9.58       	-3.75       	-8.75
0.400       	-2.50       	-2.50       	-5.00
0.500       	-5.42       	-2.92       	-9.58
0.600       	-9.58       	-0.83       	-5.42
0.700       	-6.67       	0.00        	1.67
0.800       	-4.17       	-0.83       	1.67
0.900       	-3.33       	-4.17       	-5.83
1.000       	-4.58       	-5.00       	-7.08
1.100       	-2.92       	-0.83       	1.67
1.200       	-2.92       	0.00        	4.17
1.300       	-1.25       	-2.92       	3.75
1.400       	-5.00       	3.33        	-0.83
1.500       	-5.83       	-0.83       	-3.75
1.600       	-1.25       	-4.17       	-9.17
1.700       	-6.25       	-1.67       	-6.25
1.800       	-5.83       	-0.83       	-8.33
1.900       	-3.33       	-0.83       	-12.92
2.000       	-8.75       	-7.50       	-10.42
2.100       	-9.58       	-7.50       	-3.33
