%time value spike threshold
0.000000 0.404610 nan -18.190455
0.100000 2.902957 nan -18.190455
0.200000 4.567136 nan -18.190455
0.300000 1.242961 nan -18.190455
0.400000 2.497948 nan -18.190455
0.500000 2.086239 nan -18.190455
0.600000 4.171680 nan -18.190455
0.700000 4.999613 nan -18.190455
0.800000 4.168373 nan -18.190455
0.900000 0.825481 nan -18.190455
1.000000 -0.005752 nan -18.190455
1.100000 4.164253 nan -18.190455
1.200000 4.994259 nan -18.190455
1.300000 2.072211 nan -18.190455
1.400000 8.323452 nan -18.190455
1.500000 4.166739 nan -18.190455
1.600000 0.828789 nan -18.190455
1.700000 3.334523 nan -18.190455
1.800000 4.181473 nan -18.190455
1.900000 4.190049 nan -18.190455
2.000000 -2.476706 nan -18.190455
2.100000 -2.480402 nan -18.190455
2.200000 0.443659 nan -18.190455
2.300000 3.780968 nan -18.190455
2.400000 3.362568 nan -18.190455
2.500000 0.037824 nan -18.190455
2.600000 -1.629776 nan -18.190455
2.700000 3.370993 nan -18.190455
2.800000 5.459329 nan -18.190455
2.900000 5.455646 nan -18.190455
3.000000 0.865204 nan -18.190455
3.100000 0.029913 nan -18.190455
3.200000 3.778266 nan -18.190455
3.300000 -1.224589 nan -18.190455
3.400000 0.440957 nan -18.190455
3.500000 3.347314 nan -18.190455
3.600000 7.095685 nan -18.190455
3.700000 7.512054 nan -18.190455
3.800000 4.180039 nan -18.190455
3.900000 6.682435 nan -18.190455
4.000000 8.759221 nan -18.190455
4.100000 10.837214 nan -18.190455
4.200000 5.007610 nan -18.190455
4.300000 0.836807 nan -18.190455
4.400000 1.255603 nan -18.190455
4.500000 5.007589 nan -18.190455
4.600000 8.757581 nan -18.190455
4.700000 4.589561 nan -18.190455
4.800000 2.093531 nan -18.190455
4.900000 3.349876 nan -18.190455
5.000000 2.948590 nan -18.190455
5.100000 2.531732 nan -18.190455
5.200000 2.955665 nan -18.190455
5.300000 2.953257 nan -18.190455
5.400000 8.777694 nan -18.190455
5.500000 4.606085 nan -18.190455
5.600000 4.198428 nan -18.190455
5.700000 10.863917 nan -18.190455
5.800000 10.867429 nan -18.190455
5.900000 6.706997 nan -18.190455
6.000000 9.212075 nan -18.190455
6.100000 6.712036 nan -18.190455
6.200000 14.617288 nan -18.190455
6.300000 6.703330 nan -18.190455
6.400000 4.611344 nan -18.190455
6.500000 3.357399 nan -18.190455
6.600000 0.864015 nan -18.190455
6.700000 8.367891 nan -18.190455
6.800000 11.708633 nan -18.190455
6.900000 15.040543 nan -18.190455
7.000000 10.465953 nan -18.190455
7.100000 9.217852 nan -18.190455
7.200000 8.806744 nan -18.190455
7.300000 4.232908 nan -18.190455
7.400000 6.736732 nan -18.190455
7.500000 12.570930 nan -18.190455
7.600000 7.993959 nan -18.190455
7.700000 4.657762 nan -18.190455
7.800000 8.833098 nan -18.190455
7.900000 12.162252 nan -18.190455
8.000000 6.759120 nan -18.190455
8.100000 6.342507 nan -18.190455
8.200000 0.925499 nan -18.190455
8.300000 4.268873 nan -18.190455
8.400000 2.182629 nan -18.190455
8.500000 -3.226313 nan -18.190455
8.600000 -4.891805 nan -18.190455
8.700000 -6.138068 nan -18.190455
8.800000 -6.558557 nan -18.190455
8.900000 -0.715978 nan -18.190455
9.000000 -1.126908 nan -18.190455
9.100000 -1.545875 nan -18.190455
9.200000 -1.546749 nan -18.190455
9.300000 -0.703815 nan -18.190455
9.400000 1.793026 nan -18.190455
9.500000 -3.208228 nan -18.190455
9.600000 -0.706442 nan -18.190455
9.700000 2.626108 nan -18.190455
9.800000 5.129026 nan -18.190455
9.900000 7.630801 nan -18.190455
10.000000 3.463709 nan -18.190455
10.100000 0.134342 nan -18.190455
10.200000 -3.619183 nan -18.190455
10.300000 0.129946 nan -18.190455
10.400000 2.636621 nan -18.190455
10.500000 4.308760 nan -18.190455
10.600000 6.810145 nan -18.190455
10.700000 4.312276 nan -18.190455
10.800000 -3.183718 nan -18.190455
10.900000 -2.350090 nan -18.190455
11.000000 3.480901 nan -18.190455
11.100000 0.572637 nan -18.190455
11.200000 -5.675629 nan -18.190455
11.300000 -8.589030 nan -18.190455
11.400000 -0.665431 nan -18.190455
11.500000 0.588161 nan -18.190455
11.600000 1.421371 nan -18.190455
11.700000 6.426813 nan -18.190455
11.800000 1.850751 nan -18.190455
11.900000 2.679473 nan -18.190455
12.000000 6.005964 nan -18.190455
12.100000 4.346922 nan -18.190455
12.200000 3.504911 nan -18.190455
12.300000 6.422529 nan -18.190455
12.400000 4.340151 nan -18.190455
12.500000 4.748889 nan -18.190455
12.600000 0.996519 nan -18.190455
12.700000 4.743780 nan -18.190455
12.800000 0.579202 nan -18.190455
12.900000 -4.016103 nan -18.190455
13.000000 -2.347717 nan -18.190455
13.100000 -1.094907 nan -18.190455
13.200000 -9.841731 nan -18.190455
13.300000 -7.753416 nan -18.190455
13.400000 -10.250256 nan -18.190455
13.500000 -2.746731 nan -18.190455
13.600000 0.178248 nan -18.190455
13.700000 -2.739340 nan -18.190455
13.800000 -4.817302 nan -18.190455
13.900000 -9.392704 nan -18.190455
14.000000 -6.889211 nan -18.190455
14.100000 -8.139010 nan -18.190455
14.200000 -9.391734 nan -18.190455
14.300000 -10.641899 nan -18.190455
14.400000 -1.889878 nan -18.190455
14.500000 -6.065135 nan -18.190455
14.600000 -7.322208 nan -18.190455
14.700000 -2.323819 nan -18.190455
14.800000 -4.827239 nan -18.190455
14.900000 -6.081018 nan -18.190455
15.000000 -8.583704 nan -18.190455
15.100000 -6.090365 nan -18.190455
15.200000 -9.427014 nan -18.190455
15.300000 -8.600399 nan -18.190455
15.400000 -6.100893 nan -18.190455
15.500000 -5.681740 nan -18.190455
15.600000 -6.522950 nan -18.190455
15.700000 -8.599836 nan -18.190455
15.800000 -6.928169 nan -18.190455
15.900000 -11.095427 nan -18.190455
16.000000 -4.841966 nan -18.190455
16.100000 -4.010663 nan -18.190455
16.200000 -2.762238 nan -18.190455
16.300000 -4.416285 nan -18.190455
16.400000 -2.749983 nan -18.190455
16.500000 -6.499416 nan -18.190455
16.600000 -0.660995 nan -18.190455
16.700000 -4.409357 nan -18.190455
16.800000 -2.323082 nan -18.190455
16.900000 -1.493593 nan -18.190455
17.000000 0.175897 nan -18.190455
17.100000 -4.822118 nan -18.190455
17.200000 -7.319070 nan -18.190455
17.300000 -7.315320 nan -18.190455
17.400000 -2.737249 nan -18.190455
17.500000 3.936851 nan -18.190455
17.600000 1.855629 nan -18.190455
17.700000 -1.896296 nan -18.190455
17.800000 -0.235390 nan -18.190455
17.900000 1.019050 nan -18.190455
18.000000 -0.635458 nan -18.190455
18.100000 -6.470330 nan -18.190455
18.200000 -3.126269 nan -18.190455
18.300000 5.204970 nan -18.190455
18.400000 3.124096 nan -18.190455
18.500000 -4.371857 nan -18.190455
18.600000 -2.707462 nan -18.190455
18.700000 -0.614836 nan -18.190455
18.800000 0.638140 nan -18.190455
18.900000 0.636905 nan -18.190455
19.000000 1.883924 nan -18.190455
19.100000 2.712695 nan -18.190455
19.200000 -0.609790 nan -18.190455
19.300000 -5.603688 nan -18.190455
19.400000 -7.691784 nan -18.190455
19.500000 -5.601623 nan -18.190455
19.600000 -0.603211 nan -18.190455
19.700000 -3.937828 nan -18.190455
19.800000 -6.846285 nan -18.190455
19.900000 -2.266480 nan -18.190455
20.000000 -5.597367 nan -18.190455
20.100000 -1.018251 nan -18.190455
20.200000 1.907105 nan -18.190455
20.300000 -0.176858 nan -18.190455
20.400000 -2.257409 nan -18.190455
20.500000 2.322390 nan -18.190455
20.600000 1.494950 nan -18.190455
20.700000 1.497506 nan -18.190455
20.800000 -3.505116 nan -18.190455
20.900000 -1.836700 nan -18.190455
21.000000 3.163446 nan -18.190455
21.100000 6.077374 nan -18.190455
21.200000 8.581295 nan -18.190455
21.300000 1.083833 nan -18.190455
21.400000 1.085684 nan -18.190455
21.500000 -0.990412 nan -18.190455
21.600000 1.088692 nan -18.190455
21.700000 0.681906 nan -18.190455
21.800000 4.014089 nan -18.190455
21.900000 2.349344 nan -18.190455
22.000000 -5.976434 nan -18.190455
22.100000 -7.643243 nan -18.190455
22.200000 -3.892103 nan -18.190455
22.300000 3.607670 nan -18.190455
22.400000 4.029142 nan -18.190455
22.500000 1.950278 nan -18.190455
22.600000 -3.465873 nan -18.190455
22.700000 1.962388 nan -18.190455
22.800000 0.719275 nan -18.190455
22.900000 4.478861 nan -18.190455
23.000000 0.324195 nan -18.190455
23.100000 -2.582193 nan -18.190455
23.200000 1.588888 nan -18.190455
23.300000 0.339968 nan -18.190455
23.400000 -4.658282 nan -18.190455
23.500000 -4.237547 nan -18.190455
23.600000 -6.327824 nan -18.190455
23.700000 -0.082142 nan -18.190455
23.800000 -0.495444 nan -18.190455
23.900000 -3.415714 nan -18.190455
24.000000 -2.162621 nan -18.190455
24.100000 -4.236511 nan -18.190455
24.200000 -1.323100 nan -18.190455
24.300000 -2.982035 nan -18.190455
24.400000 -1.325330 nan -18.190455
24.500000 -0.486948 nan -18.190455
24.600000 -2.154213 nan -18.190455
24.700000 -1.736832 nan -18.190455
24.800000 -5.076442 nan -18.190455
24.900000 -2.156381 nan -18.190455
25.000000 2.422008 nan -18.190455
25.100000 -3.410264 nan -18.190455
25.200000 -1.326206 nan -18.190455
25.300000 -0.906145 nan -18.190455
25.400000 -4.655088 nan -18.190455
25.500000 -7.572709 nan -18.190455
25.600000 1.178670 nan -18.190455
25.700000 3.265744 nan -18.190455
25.800000 -2.984531 nan -18.190455
25.900000 -0.068515 nan -18.190455
26.000000 6.607492 nan -18.190455
26.100000 -2.554528 nan -18.190455
26.200000 -4.626236 nan -18.190455
26.300000 -5.869272 nan -18.190455
26.400000 -2.941994 nan -18.190455
26.500000 2.891984 nan -18.190455
26.600000 7.064305 nan -18.190455
26.700000 2.071886 nan -18.190455
26.800000 -0.419890 nan -18.190455
26.900000 -0.005942 nan -18.190455
27.000000 -4.577409 nan -18.190455
27.100000 -2.488891 nan -18.190455
27.200000 -1.647594 nan -18.190455
27.300000 -0.814658 nan -18.190455
27.400000 -7.892386 nan -18.190455
27.500000 -3.729788 nan -18.190455
27.600000 -1.637524 nan -18.190455
27.700000 -4.560807 nan -18.190455
27.800000 1.266244 nan -18.190455
27.900000 -4.981165 nan -18.190455
28.000000 -5.383047 nan -18.190455
28.100000 -9.967541 nan -18.190455
28.200000 2.948853 nan -18.190455
28.300000 4.198831 nan -18.190455
28.400000 2.528481 nan -18.190455
28.500000 -1.625058 nan -18.190455
28.600000 -3.709580 nan -18.190455
28.700000 -2.039293 nan -18.190455
28.800000 -1.209651 nan -18.190455
28.900000 -4.537099 nan -18.190455
29.000000 -4.531318 nan -18.190455
29.100000 -6.199419 nan -18.190455
29.200000 -10.776881 nan -18.190455
29.300000 -6.193705 nan -18.190455
29.400000 -1.191499 nan -18.190455
